Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
2 BEDROOM HOUSE FOR RENT,"


 Road 13 House 7 Ikota Lekki Lagos ","  1,500,000 ",Added 25 Jan 2021,21
3 BEDROOM TERRACE FOR RENT,"


 Gate View Estate Igbo Efon Lekki Lagos ","  2,500,000 ",Added 25 Jan 2021,33
4 BEDROOM DUPLEX FOR RENT,"


 2nd Toll Gate Lekki Expressway Lekki Lagos ","  3,800,000 ",Added 25 Jan 2021,445
WAREHOUSE FOR RENT,"


 Sango Ota Industrial Area Ogun State Sango Abeokuta Express Lagos ","  14,000,000 ",Added 25 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 Oregun Oregun Ikeja Lagos ","  2,500,000 ",Added 25 Jan 2021,44
4 BEDROOM DUPLEX FOR RENT,"


 Lekki Osapa Lekki Lagos ","  4,500,000 ",Added 25 Jan 2021,44
COMMERCIAL PROPERTY FOR RENT,"


 Ijesha Road Ijeshatedo Surulere Lagos ","  3,000,000 ",Added 25 Jan 2021,
2 BEDROOM TERRACE FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  8,000,000 ",Added 23 Jan 2021,23
4 BEDROOM TERRACE FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  18,000,000 ",Added 23 Jan 2021,45
5 BEDROOM HOUSE FOR RENT,"


 At Ikoyi Ikoyi Lagos ","  25,000,000 ",Added 23 Jan 2021,56
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  15,000,000 ",Added 23 Jan 2021,334
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  18,000,000 ",Added 23 Jan 2021,445
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ire Akari Estate Isolo Isolo Lagos ","  1,300,000 ",Added 23 Jan 2021,334
4 BEDROOM TERRACE FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  11,000,000 ",Added 22 Jan 2021,44
44 BEDROOM FLAT & APARTMENT FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  90,000,000 ",Added 22 Jan 2021,4444
4 BEDROOM DUPLEX FOR RENT,"


 23 Owoh Lekki Phase 1 Lekki Lagos ","  7,000,000 ",Added 22 Jan 2021,44
5 BEDROOM DUPLEX FOR RENT,"


 15 Adeniji Parkview Estate Ikoyi Lagos ","  12,000,000 ",Added 22 Jan 2021,55
4 BEDROOM DUPLEX FOR RENT,"


 31 Leonard Ikoyi Ikoyi Lagos ","  7,500,000 ",Added 22 Jan 2021,44
